np_id,target_chembl_id,uniprot_id,target_organism,smiles
NPC161571,CHEMBL2916,O14746,Homo sapiens,C(=C\c1cc(cc(c1)O)O)/c1ccc(cc1)O
NPC118832,CHEMBL5685,O15245,Homo sapiens,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](c1ccnc2ccc(cc12)OC)O
NPC184014,CHEMBL6007,O75762,Homo sapiens,C/C=C/C=C/C=C\CC/C=C/C(=NCC(O)(C)C)O
NPC2173,CHEMBL6020,O95342,Homo sapiens,CN1CCc2cc3c(c(c2C1C1c2ccc(c(c2C(=O)O1)OC)OC)OC)OCO3
NPC23837,CHEMBL205,P00918,Homo sapiens,COc1ccc(cc1)OC
NPC318325,CHEMBL206,P03372,Homo sapiens,CCCCCCCCc1ccc(cc1)O
NPC208284,CHEMBL2034,P04150,Homo sapiens,COc1ccc2c(c1)c1c(C)c3cnccc3c(c1[nH]2)C
NPC2401,CHEMBL2487,P05067,Homo sapiens,OC(=O)c1ccc2c(c1)C=CC(O2)(C)C
NPC31279,CHEMBL3356,P05177,Homo sapiens,C=CCc1ccc2c(c1)OCO2
NPC215584,CHEMBL258,P06239,Homo sapiens,Cc1c2cnccc2c(c2c1c1ccccc1[nH]2)C
NPC87317,CHEMBL333,P08253,Homo sapiens,COc1cc(cc(c1O)O)C(=O)O[C@@H]1Cc2c(O)cc(cc2O[C@@H]1c1cc(O)c(c(c1)O)O)O
NPC488012,CHEMBL340,P08684,Homo sapiens,CCN(CC)Cc1cc(ccc1O)Nc1ccnc2cc(ccc12)Cl.Cl
NPC310373,CHEMBL214,P08908,Homo sapiens,COc1cc(/C=C/C(=O)O)cc(c1OC)OC
NPC481178,CHEMBL256,P0DMS8,Homo sapiens,CC(C)OC(=O)C1=C(C)NC(=C(C1c1cccc(c1)N(=O)=O)C(=O)OCCOC)C
NPC92730,CHEMBL1871,P10275,Homo sapiens,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C
NPC471615,CHEMBL289,P10635,Homo sapiens,Cc1cc(cc(C)c1OCCCc1cc(C)no1)c1nc(C(F)(F)F)on1
NPC261012,CHEMBL1781,P11387,Homo sapiens,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]1C[C@@](Cc2c1c(c1c(C(=O)c3cccc(c3C1=O)OC)c2O)O)(C(=O)CO)O)N)O
NPC93556,CHEMBL1806,P11388,Homo sapiens,CC(=CC[C@H](C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(=C1O)C(=O)c1ccc(c(c1)O)O)C2=O)C(=C)C)C
NPC244738,CHEMBL5282,P11509,Homo sapiens,S=C=NCCc1ccccc1
NPC52764,CHEMBL1978,P11511,Homo sapiens,N#Cc1ccc(cc1)C(n1cncn1)c1ccc(cc1)C#N
NPC168409,CHEMBL1973,P14679,Homo sapiens,c1ccc2-c3c4c(CCN(C=O)[C@@H]4Cc2c1)cc1c3OCO1
NPC68441,CHEMBL1900,P15121,Homo sapiens,O=Cc1c(O)c(O)c(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)c(C=O)c(c(c2C(C)C)O)O)C(C)C
NPC216630,CHEMBL335,P18031,Homo sapiens,CCCCCCCCCCCCCCCC(=O)O
NPC300325,CHEMBL220,P22303,Homo sapiens,C(=O)(N)O
